roi_num,x,y,z,MNI_Glasser_HCP_v1.0,Brainnetome_1.0,CA_ML_18_MNI,prop_overlap,retained,nvox_overlap,nvox_parcel,nvox_retained,mean,max,min
33,-27,-71,39,Focus point:  L_Area_IntraParietal_1,Focus point:  A39c_left,Focus point:  Left Middle Occipital Gyrus,0.947103274559194,TRUE,376,397,376,9.024240481092574,10.24146556854248,5.17376184463501
34,-55,-26,40,Focus point:  L_Area_2,Focus point:  A40rd_left,Focus point:  Left SupraMarginal Gyrus,0.904,TRUE,226,250,226,8.620643271809131,9.858416557312012,5.17376184463501
35,-40,-35,44,Focus point:  L_Area_2,Focus point:  A2_left,Focus point:  Left Postcentral Gyrus,0.976470588235294,TRUE,166,170,166,9.213406870164066,9.79467487335205,5.17376184463501
36,-37,-47,47,Focus point:  L_Anterior_IntraParietal_Area,Focus point:  A5l_left,Focus point:  Left Inferior Parietal Lobule,0.918918918918919,TRUE,238,259,238,8.465479049362054,9.841517448425291,5.17376184463501
37,-16,-71,55,* Within 1 mm: L_Lateral_Area_7P,Focus point:  A7c_left,Focus point:  Left Superior Parietal Lobule,0.7423423423423423,TRUE,412,555,412,9.34861850391314,10.246121406555176,5.17376184463501
38,-31,-58,60,Focus point:  L_Area_Lateral_IntraParietal_ventral,Focus point:  A7ip_left,Focus point:  Left Superior Parietal Lobule,0.7376425855513308,TRUE,194,263,194,8.677093985154457,10.169724464416504,5.17376184463501
41,-33,-7,52,Focus point:  L_Frontal_Eye_Fields,Focus point:  A6cdl_left,Focus point:  Left Precentral Gyrus,0.9473684210526316,TRUE,216,228,216,9.563671560199172,10.680923461914062,5.17376184463501
42,-22,0,63,Focus point:  L_Area_6_anterior,Focus point:  A6dl_left,Focus point:  Left Superior Frontal Gyrus,0.9585635359116024,TRUE,347,362,347,10.16912448097031,10.70920467376709,5.17376184463501
43,-48,6,29,Focus point:  L_Rostral_Area_6,Focus point:  A6cvl_left,Focus point:  Left Inferior Frontal Gyrus (p. Opercularis),0.8793103448275862,TRUE,255,290,255,8.80585745456172,9.961623191833496,5.17376184463501
47,-41,-4,-4,Focus point:  L_Posterior_Insular_Area_2,Focus point:  dIg_left,Focus point:  Left Insula Lobe,0.5129310344827587,TRUE,238,464,238,7.568135153345701,10.249982833862305,5.17376184463501
