id,dataset,model,n_runs,evo_fname,obs_fname,F,LL,AIC,BIC,R2,alpha,beta,alpha_transformed,beta_transformed,alpha_ffx,beta_ffx,alpha_transformed_ffx,beta_transformed_ffx
11256,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1420.83954572956,-1414.56950051444,-1416.56950051444,-1420.56096506155,0.00978409099526145,-0.271154967391307,3.72754002873779,0.432623574225381,41.5767047620652,-0.19357438765823,3.70077399164222,0.451756952202169,40.4786223539619
11258,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1283.74594850041,-1279.21701275837,-1281.21701275837,-1285.20847730548,0.0398311485985741,5.00510684883486,3.02964949388333,0.99334101430776,20.6899793539948,2.55354060135265,3.01633842591049,0.927811015593949,20.4163984986506
11262,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1343.14452020404,-1336.39508256996,-1338.39508256996,-1342.38654711707,0.0209740957731946,-0.688384693546527,3.41319566478061,0.334392502492045,30.36211653778,-0.589234621628419,3.40312942940968,0.356810486907726,30.0580174606305
11263,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1252.12318348593,-1245.78266500797,-1247.78266500797,-1251.77412955508,0.0314135659448256,1.02351429313103,2.82154594749485,0.73565657566053,16.8028068606908,0.746501371787722,2.79836967722033,0.678415888190311,16.4178585315346
11265,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1396.22273016222,-1391.63422308392,-1393.63422308392,-1397.62568763103,0.0140127933451096,2.76457004467241,3.19327204490784,0.940730956274305,24.3680304296817,0.702133256957967,3.09515440757372,0.66866057288339,22.0906492377707
11274,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1291.12352520511,-1286.68055780542,-1288.68055780542,-1292.67202235253,0.0344431749254934,5.4159528270259,3.04555431021062,0.995574571093201,21.0216805060664,2.90188459641812,3.0325753064349,0.947939520657401,20.7506029987439
11275,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1377.87227502667,-1371.37642641467,-1373.37642641467,-1377.36789096178,0.0153998952212916,0.29413777466247,3.21699125160045,0.57300882554755,24.9529300356357,0.216945047123322,3.19193639054304,0.554024538372462,24.3355048897518
11277,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1389.84639105743,-1385.61975556823,-1387.61975556823,-1391.61122011534,0.0165766358265718,5.42266742495862,3.30711610252998,0.995604056342054,27.3062633476362,2.8656536832293,3.2779729076003,0.946122223768373,26.5219557174443
11278,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1272.36259580342,-1267.98788054616,-1269.98788054616,-1273.97934509327,0.0318342218512598,5.40723733520299,3.05803619082202,0.995536005664853,21.2857150079784,2.85792222060664,3.04778178013368,0.945726750672294,21.0685578566877
11279,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1422.98954101837,-1417.45659687307,-1419.45659687307,-1423.44806142018,0.00731354463223266,0.77057394850587,3.42291807694586,0.683645037244283,30.6587492048913,0.431007628566291,3.35873102814947,0.606114255142817,28.7526813760826
11280,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1384.76325898851,-1380.51430793844,-1382.51430793844,-1386.50577248555,0.016372816105468,5.59163874315195,3.38223180753038,0.996284941002759,29.4363942232698,3.04933805127433,3.36840822598024,0.954753939696495,29.0322774331344
11281,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1332.34222465762,-1325.74165028081,-1327.74165028081,-1331.73311482792,0.0272342136325935,0.607265252173178,2.97559579849534,0.647316717026209,19.6012981952645,0.489551045235509,2.95312647599316,0.620000664372174,19.1657815102175
11287,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1295.65055162711,-1291.24679807321,-1293.24679807321,-1297.23826262032,0.0279262208847496,5.03797120572923,3.14816352469648,0.99355491305207,23.2932478026701,2.47155163394113,3.13201500459704,0.922123263737206,22.9201171845411
11288,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1359.83260626805,-1353.25331719238,-1355.25331719238,-1359.24478173949,0.0176730532023908,-0.188274452297866,3.1320290905653,0.453069933653213,22.9204400388581,-0.166489458708961,3.11517989337054,0.458473512862643,22.5374843328619
