id,dataset,model,n_runs,evo_fname,obs_fname,F,LL,AIC,BIC,R2,alpha,beta,alpha_transformed,beta_transformed
10891,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1429.36135114127,-1422.87468556121,-1424.87468556121,-1428.86615010832,0.00723354826013933,-2.05167785392594,2.80893492686002,0.113882953232023,16.592236858677
10895,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1456.95713101992,-1452.48282315291,-1454.48282315291,-1458.47428770002,0.00325151316801786,2.79601680990455,3.96847466120251,0.942460200101147,52.9037730862451
10997,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1411.64378368493,-1405.23173252759,-1407.23173252759,-1411.2231970747,0.00606958616895203,-0.952022538663747,3.12826995594883,0.278478255074696,22.8344407619845
11162,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1373.66503703268,-1368.23962158405,-1370.23962158405,-1374.23108613116,0.0172230119553646,4.60707992777126,3.35929362823242,0.99011771351268,28.7688621882461
11178,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1418.09296189958,-1412.86388767848,-1414.86388767848,-1418.85535222559,0.0101670721172322,4.56243926556128,3.50514236793755,0.989671226666273,33.2861824002244
11216,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1368.88210105875,-1361.63531645587,-1363.63531645587,-1367.62678100298,0.0142219870585427,-2.14270701863207,2.81122248330972,0.105014693850311,16.6302359831186
11228,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1367.46617919406,-1362.11075421909,-1364.11075421909,-1368.1022187662,0.0201888503215103,4.26032459943049,3.44973255401869,0.986078816297769,31.4919687818846
11229,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1420.4109599105,-1413.65802314045,-1415.65802314045,-1419.64948768756,0.0100708122242669,-2.60782210921766,2.91513430727192,0.0686366961902983,18.4512903788122
11243,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1283.48905130822,-1277.87283056856,-1279.87283056856,-1283.86429511566,0.0401243354290611,4.32527414789283,2.96682430469629,0.98694282280038,19.4301173829485
11246,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1036.35827859199,-1028.39937279462,-1030.39937279462,-1034.39083734173,0.0855879961660548,-1.93244124135276,2.28662845345249,0.126480617760598,9.84169993192204
11250,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1301.48258365756,-1295.76557367957,-1297.76557367957,-1301.75703822667,0.0333366673169012,4.84689433980723,2.87666256940371,0.992208457241329,17.7549183806064
11252,mmclock_fmri,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1428.05685520917,-1422.49037195493,-1424.49037195493,-1428.48183650203,0.00945311974182272,-4.73220950805076,1.50686598050714,0.00873010446384134,4.51256613951193
