id,dataset,model,n_runs,evo_fname,obs_fname,F,LL,AIC,BIC,R2,alpha,beta,alpha_transformed,beta_transformed
11277_20140519,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-1715.10500539151,-1715.10500539151,-1715.10500539151,-1715.10500539151,0.0207848402308747,1.922545,2.922986,0.872421964802009,18.5967344853128
11278_20140505,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-1387.71744605507,-1387.71744605507,-1387.71744605507,-1387.71744605507,0.0919529662112032,1.922545,2.922986,0.872421964802009,18.5967344853128
11279_20140507,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-1862.53147345713,-1862.53147345713,-1862.53147345713,-1862.53147345713,0.00182639386346473,1.922545,2.922986,0.872421964802009,18.5967344853128
11280_20140926,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-1742.38671381344,-1742.38671381344,-1742.38671381344,-1742.38671381344,0.0146631202312014,1.922545,2.922986,0.872421964802009,18.5967344853128
11282_20141030,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-1707.23089314714,-1707.23089314714,-1707.23089314714,-1707.23089314714,0.0198654576952239,1.922545,2.922986,0.872421964802009,18.5967344853128
11287_20140522,mmclock_meg,fixed_fixedparams_meg,7,h_sceptic_fixed_fmri,g_sceptic,-1519.94651880913,-1519.94651880913,-1519.94651880913,-1519.94651880913,0.0166048549105556,1.922545,2.922986,0.872421964802009,18.5967344853128
11288_20140711,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-1613.90479560347,-1613.90479560347,-1613.90479560347,-1613.90479560347,0.0306625796080652,1.922545,2.922986,0.872421964802009,18.5967344853128
11302_20140826,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-1894.82769688871,-1894.82769688871,-1894.82769688871,-1894.82769688871,0,1.922545,2.922986,0.872421964802009,18.5967344853128
11304_20140722,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-1547.38151415144,-1547.38151415144,-1547.38151415144,-1547.38151415144,0.0440560609252265,1.922545,2.922986,0.872421964802009,18.5967344853128
11305_20140825,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-1991.63791025186,-1991.63791025186,-1991.63791025186,-1991.63791025186,0,1.922545,2.922986,0.872421964802009,18.5967344853128
11310_20140807,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-1508.23473921931,-1508.23473921931,-1508.23473921931,-1508.23473921931,0.053935957337106,1.922545,2.922986,0.872421964802009,18.5967344853128
11311_20140808,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-1826.16832202766,-1826.16832202766,-1826.16832202766,-1826.16832202766,0.00880888930271895,1.922545,2.922986,0.872421964802009,18.5967344853128
11313_20141104,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-1801.47373579867,-1801.47373579867,-1801.47373579867,-1801.47373579867,0.00160735072373908,1.922545,2.922986,0.872421964802009,18.5967344853128
11314_20141020,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-1949.25316108978,-1949.25316108978,-1949.25316108978,-1949.25316108978,0,1.922545,2.922986,0.872421964802009,18.5967344853128
11315_20140815,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-1817.16446398815,-1817.16446398815,-1817.16446398815,-1817.16446398815,0.0123791807043959,1.922545,2.922986,0.872421964802009,18.5967344853128
11316_20140829,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-1584.9163276693,-1584.9163276693,-1584.9163276693,-1584.9163276693,0.0438681318754714,1.922545,2.922986,0.872421964802009,18.5967344853128
11317_20141009,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-1731.50550362166,-1731.50550362166,-1731.50550362166,-1731.50550362166,0.0232155970697926,1.922545,2.922986,0.872421964802009,18.5967344853128
11318_20141029,mmclock_meg,fixed_fixedparams_meg,8,h_sceptic_fixed_fmri,g_sceptic,-1554.20027595528,-1554.20027595528,-1554.20027595528,-1554.20027595528,0.0430347356917016,1.922545,2.922986,0.872421964802009,18.5967344853128
