id,dataset,model,n_runs,evo_fname,obs_fname,F,LL,AIC,BIC,R2,alpha,beta,alpha_transformed,beta_transformed
10891_20140925,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1758.14020708945,-1750.77909812798,-1752.77909812798,-1757.00167439605,0.0143310519262395,-2.73402249280093,3.06198144702588,0.0609953675669214,21.3698584818069
10895_20140709,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1839.74290913046,-1835.15335679358,-1837.15335679358,-1841.37593306166,0.00210012766479684,-4.330025394448,1.82888549858492,0.0129960908143534,6.22694285318156
10997_20140221,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1716.90855034603,-1709.52007432494,-1711.52007432494,-1715.74265059302,0.0183158344087235,-2.44903670607489,2.6856090185483,0.0795090215504132,14.6671312157297
11162_20140708,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1581.97065520115,-1576.2186925181,-1578.2186925181,-1582.44126878617,0.0361746760561444,4.65040690710819,3.01358056178027,0.990532772991331,20.3601704159074
11178_20140515,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1616.56035170808,-1610.57314058132,-1612.57314058132,-1616.79571684939,0.0366347002319408,5.06109566388814,3.0378063979966,0.993701314197383,20.8594357117565
11216_20141008,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1795.57145105545,-1788.64507056119,-1790.64507056119,-1794.86764682926,0.00655515149944386,-1.6529399327025,3.02073713741962,0.160712005044008,20.5064021506305
11228_20140911,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1493.75965338678,-1486.36551069127,-1488.36551069127,-1492.58808695934,0.0629954872945129,0.982828006564521,2.66095505290512,0.727668994117444,14.3099493331988
11229_20140212,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-4.71386833010401,-3.71365469369428,-5.71365469369428,-9.93623096176565,0.998013794510791,-3.32877411945507,-2.67358372384098,0.0345971515758963,0.0690044886335216
11243_20140213,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1722.94080060673,-1717.37745513802,-1719.37745513802,-1723.60003140609,0.0224565485351411,4.44276265646757,3.32765077728656,0.988373373239985,27.8727853497185
11246_20140218,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1617.70913037794,-1609.89740953365,-1611.89740953365,-1616.11998580172,0.0270791071969718,-2.1236760375878,2.90978212424394,0.106816843495844,18.3527995013169
11250_20140421,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1451.18277827406,-1444.52580909434,-1446.52580909434,-1450.74838536241,0.06565076282168,6.25856120098772,2.83996016371197,0.998089658714356,17.1150837221607
11250_20140422,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1451.18277827406,-1444.52580909434,-1446.52580909434,-1450.74838536241,0.06565076282168,6.25856120098772,2.83996016371197,0.998089658714356,17.1150837221607
11253_20140219,mmclock_meg,fixed,7,h_sceptic_fixed_fmri,g_sceptic,-1408.64893255347,-1403.06375025068,-1405.06375025068,-1409.15279512612,0.0367549240882715,4.74167623008874,2.99901903353124,0.991351439657371,20.0658433459077
11255_20140318,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1753.04908685729,-1747.61165743598,-1749.61165743598,-1753.83423370406,0.0129330126647988,2.77747767642138,3.44984750148283,0.941446556248412,31.4955889118955
11258_20140303,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1431.94631664854,-1425.49539289776,-1427.49539289776,-1431.71796916583,0.091243376699117,5.85991122951237,2.53876141614122,0.997156611114104,12.6639758568986
11262_20140312,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1578.30088365794,-1571.94333988659,-1573.94333988659,-1578.16591615466,0.0494904885885921,5.79594390262986,2.99664491886305,0.996969353001323,20.0182612379303
11263_20140324,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1598.73128387236,-1593.11178424157,-1595.11178424157,-1599.33436050964,0.0276530935419161,4.58285138553607,3.15693600520234,0.989877809177148,23.4984862739819
