id,dataset,model,n_runs,evo_fname,obs_fname,F,LL,AIC,BIC,R2,alpha,beta,alpha_transformed,beta_transformed,alpha_ffx,beta_ffx,alpha_transformed_ffx,beta_transformed_ffx
11246_20140218,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1617.87185166199,-1609.89679067479,-1611.89679067479,-1616.11936694286,0.0270881043249891,-2.12646555127597,2.91022399717934,0.106550996099319,18.3609108986768,-2.08754020493403,2.90815027693672,0.110313758738941,18.3228749576543
11250_20140422,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1448.96633331532,-1444.3183465126,-1446.3183465126,-1450.54092278068,0.0657157047734602,6.91183252874725,2.85643071026196,0.999005059840866,17.3993127838929,3.30934921414878,2.84723384400285,0.964748154811573,17.2400272179698
11253_20140219,mmclock_meg,fixed,7,h_sceptic_fixed_fmri,g_sceptic,-1406.96863794001,-1402.68968256772,-1404.68968256772,-1408.77872744317,0.0367979446178882,6.10717114015987,3.00225584391065,0.997778106471227,20.1308979037577,2.90318909583058,2.99475963161214,0.948003860340653,19.9805566184201
11255_20140318,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1751.7423521687,-1747.44571079309,-1749.44571079309,-1753.66828706116,0.0129902021095604,3.87259819119819,3.4650797944308,0.979619749993627,31.9790114183395,1.67692421755145,3.40089915251494,0.842496817127242,29.9910544595602
11258_20140303,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1429.9523628839,-1425.19973060368,-1427.19973060368,-1431.42230687175,0.0910528629957172,6.94311324108001,2.54892635210435,0.99903567100007,12.7933608414975,3.37392904712824,2.54118867829499,0.966879743303172,12.6947519819641
11262_20140312,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1576.39105897818,-1571.9047107315,-1573.9047107315,-1578.12728699957,0.0494652068325507,6.06719003194652,2.99959040864591,0.997687682537765,20.0773117455174,2.84934327712519,2.99417761430212,0.945284726014652,19.9689309720961
11263_20140324,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1597.06376628126,-1592.78877106053,-1594.78877106053,-1599.0113473286,0.0275770519726837,5.92168932647438,3.14876878502952,0.997326498941678,23.3073505490789,2.69272308292324,3.14022581926115,0.936595881700284,23.1090847459934
11265_20140923,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1581.61992091004,-1577.17201196212,-1579.17201196212,-1583.39458823019,0.0402339976006002,6.52404015022464,3.00052343755711,0.998534423797326,20.096053199635,3.40727463309574,2.99438219614212,0.967931113632555,19.9730166706529
11274_20140528,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1633.08875445576,-1628.72479756341,-1630.72479756341,-1634.94737383148,0.0319568113231238,6.01771147689239,3.0159784646844,0.997570679651745,20.4090507093536,2.91597140141564,3.00241180157474,0.948630336604217,20.1340377164033
11275_20140620,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1779.93667096885,-1775.7660795018,-1777.7660795018,-1781.98865576987,0.0118302157650096,5.59577508426916,3.60300478019212,0.996300219280564,36.7083694765189,2.47765523740871,3.56827393760119,0.922560447655728,35.4553421723687
11277_20140519,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1689.3864888343,-1685.08832437472,-1687.08832437472,-1691.31090064279,0.0230147755733844,6.70677164411378,3.15686922049611,0.998778888173564,23.4969169868821,3.14280357220318,3.14636796668754,0.958624224175298,23.2514609516084
11278_20140505,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1354.74345817642,-1349.79222761813,-1351.79222761813,-1356.0148038862,0.109878861893635,4.6494887443728,2.56352203084018,0.990524158950666,12.9814579898226,2.18004635973353,2.54687839582374,0.89844330217865,12.7671874079837
11279_20140507,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1809.07432304897,-1805.13521980977,-1807.13521980977,-1811.35779607784,0.00749723177830197,5.47452468636946,3.71938089156685,0.995825280648726,41.2388548808206,2.36381322232341,3.66635111698144,0.914025931621192,39.1089412367817
11280_20140926,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-6.17587485384442,-3.7985100929741,-5.7985100929741,-10.0210863610455,0.998001292579519,-3.03132252949017,-1.70302197447942,0.0460307173873454,0.182132292428689,-2.96950131331809,-1.43035360744324,0.0488228764010216,0.239224315787234
11282_20141030,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1585.02427411113,-1576.92242569066,-1578.92242569066,-1583.14500195873,0.0324023153090969,-1.88262595251924,2.73814037323434,0.132087542284087,15.4582118463803,-1.82164056063415,2.73396940519364,0.139237135119004,15.3938704151082
11287_20140522,mmclock_meg,fixed,6,h_sceptic_fixed_fmri,g_sceptic,-1246.21682565815,-1242.05290159089,-1244.05290159089,-1247.98779578651,0.0281623155159384,5.79091819220249,3.22560002887113,0.996954130018105,25.1686715555089,2.53498526736419,3.20376808081363,0.926558313121319,24.6251451341563
11288_20140711,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1613.29085549198,-1608.88686236262,-1610.88686236262,-1615.10943863069,0.031348946027851,6.00435580020058,3.03119606968358,0.997538097215643,20.7220027322792,2.84596630258817,3.01937017115742,0.945109800911687,20.478389741103
11302_20140826,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1763.43281397523,-1756.59752811495,-1758.59752811495,-1762.82010438302,0.00834142128682958,-2.18928012318592,2.6703398683561,0.100717276448939,14.444877715473,-2.11533606832099,2.66703695546489,0.107615148110846,14.3972462472518
11304_20140722,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1545.18088233225,-1540.79187538339,-1542.79187538339,-1547.01445165147,0.0458421190479537,5.99460030642323,2.95180061984013,0.997514022605336,19.1403872791432,2.84174964564125,2.95532701078509,0.94489064127068,19.2080029170449
11305_20140825,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1756.28354442358,-1748.96272405581,-1750.96272405581,-1755.18530032388,0.015229231891655,-2.92951650183838,2.57730572907351,0.0507135963122999,13.161629350658,-2.81309069161302,2.60117051040035,0.0566208652845305,13.4795067072964
11310_20140807,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1514.71531807311,-1507.03600085925,-1509.03600085925,-1513.25857712732,0.0523636564037278,0.613647104537457,2.79381590225475,0.648772306366693,16.3432652677363,0.55881752352835,2.78518759416095,0.636178893921316,16.2028571530711
11311_20140808,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1775.41815855538,-1769.03314401778,-1771.03314401778,-1775.25572028586,0.0133542390046621,1.0747845323682,3.44288418720297,0.745505736275899,31.2770370336697,0.704286848640011,3.38969907198937,0.669137535467941,29.6570262974737
11313_20141104,mmclock_meg,fixed,7,h_sceptic_fixed_fmri,g_sceptic,-1447.68712645156,-1439.950161939,-1441.950161939,-1446.03920681444,0.0221920878073024,-1.66139945553559,2.88913821354917,0.159574226127087,17.9778098908098,-1.61689497591413,2.88227778620026,0.165633536232798,17.8548965333217
11314_20141020,mmclock_meg,fixed,8,h_sceptic_fixed_fmri,g_sceptic,-1732.82919366006,-1725.2812795221,-1727.2812795221,-1731.50385579017,0.0135427477976839,-2.42905723266779,2.74671505375612,0.0809836052079742,15.5913309858143,-2.37605352681153,2.74589328146821,0.0850170562075839,15.5785237251252
